307,ᅥ,ᅥ,u1165,307.png
308,ᅦ,ᅦ,u1166,308.png
309,ᅧ,ᅧ,u1167,309.png
310,ᅨ,ᅨ,u1168,310.png
311,ᅩ,ᅩ,u1169,311.png
312,ᅪ,ᅪ,u116a,312.png
313,ᅬ,ᅬ,u116c,313.png
314,ᅭ,ᅭ,u116d,314.png
315,ᅮ,ᅮ,u116e,315.png
316,ᅯ,ᅯ,u116f,316.png
317,ᅲ,ᅲ,u1172,317.png
318,ᅳ,ᅳ,u1173,318.png
319,ᅴ,ᅴ,u1174,319.png
320,ᅵ,ᅵ,u1175,320.png
321,ᆨ,ᆨ,u11a8,321.png
322,ᆫ,ᆫ,u11ab,322.png
323,ᆯ,ᆯ,u11af,323.png
324,ᆷ,ᆷ,u11b7,324.png
325,ᆸ,ᆸ,u11b8,325.png
326,ᆺ,ᆺ,u11ba,326.png
327,ᆻ,ᆻ,u11bb,327.png
328,ᆼ,ᆼ,u11bc,328.png
329,ᗜ,ᗜ,u15dc,329.png
330,ᵃ,ᵃ,u1d43,330.png
331,ᵉ,ᵉ,u1d49,331.png
332,ᵍ,ᵍ,u1d4d,332.png
333,ᵏ,ᵏ,u1d4f,333.png
334,ᵐ,ᵐ,u1d50,334.png
335,ᵒ,ᵒ,u1d52,335.png
336,ᵘ,ᵘ,u1d58,336.png
337,‖,‖,u2016,337.png
338,„,„,u201e,338.png
339,†,†,u2020,339.png
340,•,•,u2022,340.png
341,‥,‥,u2025,341.png
342,‧,‧,u2027,342.png
343,,,,343.png
344,‰,‰,u2030,344.png
345,′,′,u2032,345.png
346,″,″,u2033,346.png
347,‹,‹,u2039,347.png
348,›,›,u203a,348.png
349,※,※,u203b,349.png
350,‿,‿,u203f,350.png
351,⁄,⁄,u2044,351.png
352,ⁱ,ⁱ,u2071,352.png
353,⁺,⁺,u207a,353.png
354,ⁿ,ⁿ,u207f,354.png
355,₁,₁,u2081,355.png
356,₂,₂,u2082,356.png
357,₃,₃,u2083,357.png
358,₄,₄,u2084,358.png
359,€,€,u20ac,359.png
360,℃,℃,u2103,360.png
361,№,№,u2116,361.png
362,™,™,u2122,362.png
363,ⅰ,ⅰ,u2170,363.png
364,ⅱ,ⅱ,u2171,364.png
365,ⅲ,ⅲ,u2172,365.png
366,ⅳ,ⅳ,u2173,366.png
367,ⅴ,ⅴ,u2174,367.png
368,←,←,u2190,368.png
369,↑,↑,u2191,369.png
370,→,→,u2192,370.png
371,↓,↓,u2193,371.png
372,↔,↔,u2194,372.png
373,↗,↗,u2197,373.png
374,↘,↘,u2198,374.png
375,⇒,⇒,u21d2,375.png
376,∀,∀,u2200,376.png
377,−,−,u2212,377.png
378,∕,∕,u2215,378.png
379,∙,∙,u2219,379.png
380,√,√,u221a,380.png
381,∞,∞,u221e,381.png
382,∟,∟,u221f,382.png
383,∠,∠,u2220,383.png
384,∣,∣,u2223,384.png
385,∥,∥,u2225,385.png
386,∩,∩,u2229,386.png
387,∮,∮,u222e,387.png
388,∶,∶,u2236,388.png
389,∼,∼,u223c,389.png
390,∽,∽,u223d,390.png
391,≈,≈,u2248,391.png
392,≒,≒,u2252,392.png
393,≡,≡,u2261,393.png
394,≤,≤,u2264,394.png
395,≥,≥,u2265,395.png
396,≦,≦,u2266,396.png
397,≧,≧,u2267,397.png
398,≪,≪,u226a,398.png
399,≫,≫,u226b,399.png
400,⊙,⊙,u2299,400.png
401,⋅,⋅,u22c5,401.png
402,⋈,⋈,u22c8,402.png
403,⋯,⋯,u22ef,403.png
404,⌒,⌒,u2312,404.png
405,①,①,u2460,405.png
406,②,②,u2461,406.png
407,③,③,u2462,407.png
408,④,④,u2463,408.png
409,⑤,⑤,u2464,409.png
410,⑥,⑥,u2465,410.png
411,⑦,⑦,u2466,411.png
412,⑧,⑧,u2467,412.png
413,⑨,⑨,u2468,413.png
414,⑩,⑩,u2469,414.png
415,⑴,⑴,u2474,415.png
416,⑵,⑵,u2475,416.png
417,⑶,⑶,u2476,417.png
418,⑷,⑷,u2477,418.png
419,⑸,⑸,u2478,419.png
420,⒈,⒈,u2488,420.png
421,⒉,⒉,u2489,421.png
422,⒊,⒊,u248a,422.png
423,⒋,⒋,u248b,423.png
424,ⓒ,ⓒ,u24d2,424.png
425,ⓔ,ⓔ,u24d4,425.png
426,ⓘ,ⓘ,u24d8,426.png
427,─,─,u2500,427.png
428,━,━,u2501,428.png
429,│,│,u2502,429.png
430,┃,┃,u2503,430.png
431,┅,┅,u2505,431.png
432,┆,┆,u2506,432.png
433,┊,┊,u250a,433.png
434,┌,┌,u250c,434.png
435,└,└,u2514,435.png
436,├,├,u251c,436.png
437,┣,┣,u2523,437.png
438,═,═,u2550,438.png
439,║,║,u2551,439.png
440,╚,╚,u255a,440.png
441,╞,╞,u255e,441.png
442,╠,╠,u2560,442.png
443,╭,╭,u256d,443.png
444,╮,╮,u256e,444.png
445,╯,╯,u256f,445.png
446,╰,╰,u2570,446.png
447,╱,╱,u2571,447.png
448,╳,╳,u2573,448.png
449,▂,▂,u2582,449.png
450,▃,▃,u2583,450.png
451,▅,▅,u2585,451.png
452,▇,▇,u2587,452.png
453,█,█,u2588,453.png
454,▉,▉,u2589,454.png
455,▋,▋,u258b,455.png
456,▌,▌,u258c,456.png
457,▍,▍,u258d,457.png
458,▎,▎,u258e,458.png
459,■,■,u25a0,459.png
460,□,□,u25a1,460.png
461,▪,▪,u25aa,461.png
462,▫,▫,u25ab,462.png
463,▬,▬,u25ac,463.png
464,▲,▲,u25b2,464.png
465,△,△,u25b3,465.png
466,▶,▶,u25b6,466.png
467,►,►,u25ba,467.png
468,▼,▼,u25bc,468.png
469,▽,▽,u25bd,469.png
470,◆,◆,u25c6,470.png
471,◇,◇,u25c7,471.png
472,○,○,u25cb,472.png
473,◎,◎,u25ce,473.png
474,●,●,u25cf,474.png
475,◕,◕,u25d5,475.png
476,◠,◠,u25e0,476.png
477,◢,◢,u25e2,477.png
478,◤,◤,u25e4,478.png
479,☀,☀,u2600,479.png
480,★,★,u2605,480.png
481,☆,☆,u2606,481.png
482,☕,☕,u2615,482.png
483,☞,☞,u261e,483.png
484,☺,☺,u263a,484.png
485,☼,☼,u263c,485.png
486,♀,♀,u2640,486.png
487,♂,♂,u2642,487.png
488,♠,♠,u2660,488.png
489,♡,♡,u2661,489.png
490,♣,♣,u2663,490.png
491,♥,♥,u2665,491.png
492,♦,♦,u2666,492.png
493,♪,♪,u266a,493.png
494,♫,♫,u266b,494.png
495,♬,♬,u266c,495.png
496,✈,✈,u2708,496.png
497,✔,✔,u2714,497.png
498,✕,✕,u2715,498.png
499,✖,✖,u2716,499.png
500,✦,✦,u2726,500.png
501,✨,✨,u2728,501.png
502,✪,✪,u272a,502.png
503,✰,✰,u2730,503.png
504,✿,✿,u273f,504.png
505,❀,❀,u2740,505.png
506,❤,❤,u2764,506.png
507,➜,➜,u279c,507.png
508,➤,➤,u27a4,508.png
509,⦿,⦿,u29bf,509.png
510,、,、,u3001,510.png
511,。,。,u3002,511.png
512,〃,〃,u3003,512.png
513,々,々,u3005,513.png
514,〇,〇,u3007,514.png
515,〈,〈,u3008,515.png
516,〉,〉,u3009,516.png
517,《,《,u300a,517.png
518,》,》,u300b,518.png
519,「,「,u300c,519.png
520,」,」,u300d,520.png
521,『,『,u300e,521.png
